"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"lda",0.082372208462005,0.082372208462005,0.082372208462005,0.00377109372110469,0.672154993523655,0.166666666666667,0.197241994441691,184.162304140069,49.9593048095703,"posterior","random_dirichlet",NA,NA,NA,"baseline",22,1866559661
"stm",0.135174002277305,0.135174002277305,0.135174002277305,0.0057269130171345,1.04359105667386,0.0277777777777778,0.138551663157076,192.284642284691,45.3192422389984,"posterior","random",NA,NA,NA,"baseline",22,1866559661
"gscamm",0.152988766049544,0.195897120370792,0.0470021746820966,0.00357704515117438,0.887690807235164,0.666666666666667,1.8012505973265,181.787076095645,12.0533595085144,"structural","kmeans",42,TRUE,370,"baseline",23,351996125
"gscamm_boot",0.152988766049544,0.195897120370792,0.0470021746820966,0.00357704515117438,0.793447175720871,1,7.11094775652897,181.787076095645,999.655206203461,"structural","kmeans",42,TRUE,370,"baseline",23,351996125
"lda",0.134033750212294,0.134033750212294,0.134033750212294,0.00460549326101825,1.25835413478975,0.125,0.254750947707607,158.890921784323,39.7069087028503,"posterior","random_dirichlet",NA,NA,NA,"baseline",23,351996125
"stm",0.137017978796927,0.137017978796927,0.137017978796927,0.00610214439017784,1.4320805438832,0.0416666666666667,0.183687205875086,159.922254208814,27.2107133865356,"posterior","random",NA,NA,NA,"baseline",23,351996125
"gscamm",0.148896902306305,0.255361710786788,0.145709327849578,0.00502800727779212,0.695339865715013,0.833333333333333,1.81916380122134,203.342652839307,9.25482535362244,"structural","kmeans",43,TRUE,263,"baseline",24,1841056617
"gscamm_boot",0.148896902306305,0.255361710786788,0.145709327849578,0.00502800727779212,0.831740370813285,1,7.21590368666423,203.342652839307,1000.78244495392,"structural","kmeans",43,TRUE,263,"baseline",24,1841056617
"lda",0.106152629159056,0.106152629159056,0.106152629159056,0.00313610420900542,0.939153682292385,0.0277777777777778,0.220250562640398,175.026644662445,63.9328503608704,"posterior","random_dirichlet",NA,NA,NA,"baseline",24,1841056617
"stm",0.150136467824605,0.150136467824605,0.150136467824605,0.00666382425772083,1.20149758828626,0.0694444444444444,0.122482465893892,184.184470133642,28.7790861129761,"posterior","random",NA,NA,NA,"baseline",24,1841056617
"gscamm",0.116786984944962,0.19897877461442,0.0715190543616031,0.00376930748821098,0.609181477191191,0.833333333333333,1.79289509381054,207.217299104686,13.5125682353973,"structural","kmeans",76,TRUE,329,"baseline",25,82525317
"gscamm_boot",0.116786984944962,0.19897877461442,0.0715190543616031,0.00376930748821098,0.445814679695363,1,7.03579176359736,207.217299104686,1013.4376347065,"structural","kmeans",76,TRUE,329,"baseline",25,82525317
"lda",0.0847381218804579,0.0847381218804579,0.0847381218804579,0.0037744451721941,1.02194148708359,0.194444444444444,0.228442651984432,181.073119936918,66.0340056419373,"posterior","random_dirichlet",NA,NA,NA,"baseline",25,82525317
"stm",0.121581007195262,0.121581007195262,0.121581007195262,0.0059219629482887,1.0094805032301,0.0277777777777778,0.122313468809729,185.196304773776,26.9861006736755,"posterior","random",NA,NA,NA,"baseline",25,82525317
"gscamm",0.158487423780528,0.2082649678222,0.0841216205099957,0.00400905430470095,0.905945571329259,0.638888888888889,1.59670695806614,188.096608915476,8.52721166610718,"structural","kmeans",50,TRUE,296,"baseline",26,2026414573
"gscamm_boot",0.158487423780528,0.2082649678222,0.0841216205099957,0.00400905430470095,0.751201879011482,1,5.7461409327512,188.096608915476,957.444797515869,"structural","kmeans",50,TRUE,296,"baseline",26,2026414573
"lda",0.090767194988653,0.090767194988653,0.090767194988653,0.00312178724781677,1.01932916922641,0.125,0.242123349756294,159.482765362472,41.1721324920654,"posterior","random_dirichlet",NA,NA,NA,"baseline",26,2026414573
